word,frequency
the,0.053703179637
to,0.0269153480393
and,0.0257039578277
of,0.0251188643151
a,0.0229086765277
in,0.0186208713666
i,0.0123026877081
is,0.0117489755494
for,0.0102329299228
that,0.0102329299228
you,0.00954992586021
it,0.00891250938134
on,0.00812830516164
with,0.00707945784384
this,0.00660693448008
was,0.00660693448008
be,0.00616595001861
as,0.00588843655356
are,0.00549540873858
have,0.00512861383991
at,0.00501187233627
he,0.00489778819368
not,0.00489778819368
by,0.00457088189615
but,0.00426579518802
from,0.00426579518802
my,0.00371535229097
or,0.00346736850453
we,0.00346736850453
an,0.00338844156139
your,0.00338844156139
all,0.00331131121483
so,0.00331131121483
his,0.0032359365693
they,0.00316227766017
me,0.0030199517204
if,0.00295120922667
one,0.00295120922667
can,0.00288403150313
will,0.00281838293126
just,0.00269153480393
like,0.00257039578277
about,0.00251188643151
up,0.00245470891569
out,0.00239883291902
what,0.00239883291902
has,0.00234422881532
when,0.00234422881532
more,0.00229086765277
do,0.00223872113857
no,0.00223872113857
were,0.00218776162395
who,0.00218776162395
had,0.0021379620895
their,0.0021379620895
there,0.00204173794467
her,0.00199526231497
which,0.00199526231497
time,0.00194984459976
get,0.00190546071796
been,0.00186208713666
would,0.00186208713666
she,0.00181970085861
new,0.00177827941004
people,0.00177827941004
how,0.00173780082875
some,0.00158489319246
also,0.00154881661891
them,0.00154881661891
now,0.00151356124844
other,0.00144543977075
its,0.0013803842646
our,0.0013803842646
than,0.00134896288259
good,0.00131825673856
only,0.00131825673856
after,0.00128824955169
first,0.00128824955169
him,0.00128824955169
into,0.00128824955169
know,0.00125892541179
see,0.00125892541179
two,0.00125892541179
make,0.00120226443462
over,0.00120226443462
think,0.00120226443462
any,0.00117489755494
then,0.00117489755494
could,0.0011481536215
back,0.00109647819614
these,0.00109647819614
us,0.00109647819614
want,0.00109647819614
because,0.00107151930524
go,0.00107151930524
well,0.00107151930524
said,0.00102329299228
way,0.00102329299228
most,0.001
much,0.001
very,0.001
where,0.001
even,0.000977237220956
should,0.000977237220956
may,0.000954992586021
here,0.000933254300797
need,0.000933254300797
really,0.000933254300797
did,0.000912010839356
right,0.000912010839356
work,0.000912010839356
year,0.000912010839356
years,0.000912010839356
being,0.000891250938134
day,0.000891250938134
too,0.000891250938134
going,0.000870963589956
before,0.000851138038202
off,0.000851138038202
why,0.000851138038202
made,0.000831763771103
still,0.000831763771103
take,0.000831763771103
got,0.000812830516164
many,0.000812830516164
never,0.000812830516164
those,0.000794328234724
life,0.000776247116629
say,0.000776247116629
world,0.000776247116629
down,0.000758577575029
great,0.000758577575029
through,0.000741310241301
last,0.000724435960075
s,0.000724435960075
while,0.000724435960075
best,0.000691830970919
such,0.000691830970919
love,0.000660693448008
man,0.000660693448008
home,0.000645654229035
long,0.000645654229035
look,0.000645654229035
something,0.000645654229035
use,0.000645654229035
same,0.00063095734448
used,0.00063095734448
both,0.000616595001861
every,0.000616595001861
am,0.000602559586074
come,0.000602559586074
part,0.000602559586074
state,0.000602559586074
three,0.000602559586074
around,0.000588843655356
between,0.000588843655356
always,0.000575439937337
better,0.000575439937337
find,0.000575439937337
help,0.00056234132519
high,0.00056234132519
little,0.00056234132519
old,0.00056234132519
since,0.00056234132519
another,0.000549540873858
does,0.000549540873858
own,0.000549540873858
things,0.000549540873858
under,0.00053703179637
during,0.00052480746025
game,0.00052480746025
thing,0.00052480746025
give,0.000512861383991
house,0.000512861383991
place,0.000512861383991
school,0.000512861383991
again,0.000501187233627
next,0.000501187233627
each,0.000489778819368
mr,0.000489778819368
without,0.000489778819368
against,0.000478630092323
end,0.000478630092323
found,0.000478630092323
must,0.000478630092323
show,0.000478630092323
big,0.000467735141287
feel,0.000467735141287
sure,0.000467735141287
team,0.000467735141287
ever,0.000457088189615
family,0.000457088189615
keep,0.000457088189615
might,0.000457088189615
please,0.000457088189615
put,0.000457088189615
money,0.00043651583224
free,0.000426579518802
second,0.000426579518802
someone,0.000426579518802
away,0.00041686938347
left,0.00041686938347
number,0.00041686938347
city,0.000407380277804
days,0.000407380277804
lot,0.000407380277804
name,0.000407380277804
night,0.000407380277804
play,0.000407380277804
until,0.000407380277804
company,0.000398107170553
doing,0.000398107170553
few,0.000398107170553
let,0.000398107170553
real,0.000398107170553
called,0.000389045144994
different,0.000389045144994
having,0.000389045144994
set,0.000389045144994
thought,0.000389045144994
done,0.000380189396321
however,0.000380189396321
getting,0.000371535229097
god,0.000371535229097
government,0.000371535229097
group,0.000371535229097
looking,0.000371535229097
public,0.000371535229097
top,0.000371535229097
women,0.000371535229097
business,0.00036307805477
care,0.00036307805477
start,0.00036307805477
system,0.00036307805477
times,0.00036307805477
week,0.00036307805477
already,0.000354813389234
anything,0.000354813389234
case,0.000354813389234
nothing,0.000354813389234
person,0.000354813389234
today,0.000354813389234
change,0.000346736850453
enough,0.000346736850453
everything,0.000346736850453
full,0.000346736850453
live,0.000346736850453
making,0.000346736850453
point,0.000346736850453
read,0.000346736850453
told,0.000346736850453
yet,0.000346736850453
bad,0.000338844156139
four,0.000338844156139
hard,0.000338844156139
mean,0.000338844156139
once,0.000338844156139
support,0.000338844156139
tell,0.000338844156139
including,0.000331131121483
music,0.000331131121483
power,0.000331131121483
seen,0.000331131121483
states,0.000331131121483
stop,0.000331131121483
water,0.000331131121483
based,0.00032359365693
believe,0.00032359365693
call,0.00032359365693
head,0.00032359365693
men,0.00032359365693
national,0.00032359365693
small,0.00032359365693
took,0.00032359365693
white,0.00032359365693
came,0.000316227766017
far,0.000316227766017
job,0.000316227766017
side,0.000316227766017
though,0.000316227766017
try,0.000316227766017
went,0.000316227766017
yes,0.000316227766017
actually,0.000309029543251
american,0.000309029543251
later,0.000309029543251
less,0.000309029543251
line,0.000309029543251
order,0.000309029543251
party,0.000309029543251
run,0.000309029543251
says,0.000309029543251
service,0.000309029543251
country,0.00030199517204
open,0.00030199517204
season,0.00030199517204
shit,0.00030199517204
thank,0.00030199517204
children,0.000295120922667
everyone,0.000295120922667
general,0.000295120922667
trying,0.000295120922667
united,0.000295120922667
using,0.000295120922667
area,0.000288403150313
black,0.000288403150313
d,0.000288403150313
following,0.000288403150313
law,0.000288403150313
makes,0.000288403150313
together,0.000288403150313
war,0.000288403150313
whole,0.000288403150313
car,0.000281838293126
face,0.000281838293126
five,0.000281838293126
kind,0.000281838293126
maybe,0.000281838293126
per,0.000281838293126
president,0.000281838293126
story,0.000281838293126
working,0.000281838293126
course,0.000275422870334
games,0.000275422870334
health,0.000275422870334
hope,0.000275422870334
important,0.000275422870334
least,0.000275422870334
means,0.000275422870334
news,0.000275422870334
within,0.000275422870334
able,0.000269153480393
book,0.000269153480393
early,0.000269153480393
friends,0.000269153480393
information,0.000269153480393
local,0.000269153480393
oh,0.000269153480393
post,0.000269153480393
t,0.000269153480393
thanks,0.000269153480393
video,0.000269153480393
young,0.000269153480393
ago,0.00026302679919
others,0.00026302679919
social,0.00026302679919
